Ref,Val,Package,PosX,PosY,Rot,Side
"D5","SK6812MINI-E","MX_SK6812MINI-E",104.000000,-62.000000,-90.000000,bottom
"D6","SK6812MINI-E","MX_SK6812MINI-E",103.000000,-117.100000,-90.000000,bottom
"D7","SK6812MINI-E","MX_SK6812MINI-E",169.350000,-76.700000,90.000000,bottom
"D8","SK6812MINI-E","MX_SK6812MINI-E",103.920001,-76.700000,-90.000000,bottom
"D9","SK6812MINI-E","MX_SK6812MINI-E",169.400000,-117.100000,90.000000,bottom
"D10","SK6812MINI-E","MX_SK6812MINI-E",164.200000,-57.100000,180.000000,bottom
"D11","SK6812MINI-E","MX_SK6812MINI-E",104.000000,-100.000000,-90.000000,bottom
"D12","SK6812MINI-E","MX_SK6812MINI-E",169.400000,-100.000000,90.000000,bottom
"D14","MBR0530","D_SOD-123",118.200000,-113.950000,-90.000000,bottom
"H4","MountingSwitch","baerklein",127.900000,-98.000000,180.000000,bottom
"J11","Conn_01x02_Pin","JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal",112.050000,-115.200000,90.000000,bottom
"Q3","Si2301","SOT-23",121.300000,-116.200000,0.000000,bottom
"R23","LDR03","R_LDR_10x8.5mm_P7.6mm_Vertical",168.300000,-96.600000,180.000000,bottom
"R26","800k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.800000,-124.000000,180.000000,bottom
"R27","5k11","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.800000,-123.000000,90.000000,bottom
"R28","10K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",117.500000,-118.000000,180.000000,bottom
"SW1","SW_Push","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4",110.000000,-68.000000,90.000000,bottom
"SW2","SW_Push","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4",110.000000,-82.600000,-90.000000,bottom
"SW3","SW_Push","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4",110.000000,-106.500000,90.000000,bottom
"SW4","SW_Push","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4",109.000000,-121.500000,0.000000,bottom
"SW5","SW_Push","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4",144.625000,-116.650000,-90.000000,bottom
"SW6","SW_Push","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4",164.500000,-122.000000,0.000000,bottom
"SW7","SW_Push","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4",164.500000,-106.500000,-90.000000,bottom
"SW8","SW_Push","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4",164.000000,-82.500000,-90.000000,bottom
"SW9","SW_Push","SW-SMD_4P-L5.2-W5.2-P3.70-LS6.4",164.000000,-68.000000,90.000000,bottom
"TP10","VCOM","PinHeader_1x01_P2.54mm_Vertical",137.800000,-72.750000,180.000000,bottom
"U4","TP4065","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR",118.100000,-121.300000,180.000000,bottom
"U7","RFM95W-868S2","HOPERF_RFM9XW_SMD",144.500000,-88.300000,90.000000,bottom
